time,cam_x,cam_y,cam_z,obj_x,obj_y,obj_z,cam_i,cam_j,cam_k,cam_w,obj_i,obj_j,obj_k,obj_w
0.05,51.79618474021026,25.47626816146332,134.4770274253226,-48.652755298917874,856.8876674619912,139.29402839530655,0.014955566145782095,-0.025247677832933003,0.6870015141339404,0.7260632240948284,-0.011213617497050693,0.004010520689293693,-0.7899791444679655,0.6130180436268512
0.05,47.77205199430797,25.640106202995167,134.2993631497167,-48.11977261608438,856.871257075072,139.2658880940877,0.0081695397176482,-0.02194170886787073,0.6849239107622458,0.7282383239701894,-0.011109654993934985,0.004264488305009081,-0.7907120693107419,0.612072555463596
0.05,42.66637939054557,25.43981436382713,134.53126254739965,-47.18660638965422,856.8496369086622,139.26103214298283,0.014911539210973632,-0.02516062562973278,0.6870455096212256,0.7260255206434485,-0.010121160465262109,0.003993667495224874,-0.7933538154119506,0.6086635657751124
0.05,38.6543206537375,25.438979526913734,134.56079007717258,-45.96572344357887,856.8506540251173,139.24772705284252,0.014611410107146033,-0.02482213299962795,0.6869886768752675,0.7260970501614773,-0.011212072893310738,0.004945467020081631,-0.7886483870000113,0.6147223385071255
0.05,32.91161817682624,25.658104754368626,134.31795092455476,-43.07471305660687,856.8463828265092,139.28922911740196,0.008057613653161632,-0.02140691180858192,0.685487975378269,0.7277245733111104,-0.010451154270384136,0.004137313119601907,-0.7943928567484637,0.6073002924102554
0.05,28.002847275625914,25.648336645485493,134.41957613536442,-40.37165476427262,856.9120233150162,139.33366056180319,0.010063797622547317,-0.02387337992984627,0.6860045366764881,0.727135858947566,-0.010275404628766258,0.00554262736420537,-0.7897903921701541,0.6132657105833741
0.05,23.059761507419953,25.697102672175394,134.30954514831384,-37.76801412779388,856.9263389195377,139.11727862075966,0.008111905012206894,-0.02185282699566642,0.685375011147102,0.7278171096123535,-0.008495000006859797,0.0025880181832394064,-0.7892662544658908,0.6139869027089669
0.05,16.48482601398758,25.494979269452646,134.53260729724263,-34.114939758533914,856.7327515360206,139.35437041104197,0.013744389671323387,-0.024061566800230676,0.6865297167233022,0.7265735205824002,-0.01571968543899294,-0.004115348419609101,-0.7853187251254458,0.6188783849549352
0.05,11.553254444088848,25.667396436372183,134.3988150423314,-31.373283616100615,856.9812060369907,139.1000334926216,0.008359543165631969,-0.022451152816833877,0.6853456491073171,0.7278237458512379,-0.008533528393900753,0.002686327546493244,-0.7931987765068039,0.6088970877624337
0.05,6.096215284800257,25.464572751940928,134.60055996159463,-27.511082312873285,856.76529378609,139.3334866553728,0.01318039782619919,-0.023710915298055,0.6867682968724974,0.7263699993940559,-0.016479346749970127,-0.004791542568372736,-0.7899538578703604,0.612926076037106
0.05,2.1967964724048423,25.45952868451248,134.59838096732472,-25.385543408799954,857.0535354640873,139.3850664374887,0.013744234523112988,-0.02320839944513502,0.6872246365276476,0.7259440509860324,-0.009656362283498946,0.005531165794585236,-0.7892555758144209,0.6139640029498876
0.05,-2.758634641901543,25.606486919358364,134.4972105234528,-20.03140368704579,857.0570030807922,139.38303768724467,0.0074112914115098145,-0.021643196267279587,0.6851658082974343,0.7280277879003473,-0.00795053446468657,0.0005395253396738429,-0.8043890700374493,0.5940494271678252
0.05,-7.623117440845283,25.438569167534112,134.64282263798185,-15.433536305513258,857.0502680073312,139.25700141655238,0.013195391247328138,-0.02290857239964744,0.687079360196936,0.7261012544761296,-0.011123514579908891,0.0049544058862994724,-0.7906601160069976,0.6121342191394836
0.05,-11.885115420837707,25.406065852392906,134.69117752798377,-10.42701590100718,857.1822315394186,139.32566841614988,0.013322569944817807,-0.022276991495816426,0.6868696437994318,0.7263169674507146,-0.010878598073892392,0.006364660550957111,-0.7861228628585836,0.6179417381040405
0.05,-16.243407425292084,25.44380142549777,134.69096006457494,-5.578806140964209,857.0454762331178,139.2162115596168,0.013919346808809609,-0.023323525880813874,0.6870545727192983,0.7260979817010964,-0.01384007190887426,-0.007597673262714125,-0.7893124289643988,0.6137887399202362
0.05,-20.767598149860643,25.660538673140508,134.50975381557532,-0.867791453913644,857.0454088684185,139.21715315519995,0.008523513111312107,-0.021602126017153035,0.685692730960255,0.7275205678082565,-0.013594459447793902,-0.008356489138154606,-0.7891410843186532,0.6140046488439533
0.05,-26.08517945394961,25.451953198926404,134.73880686989918,4.116757831684637,857.0807466912846,139.12777485669747,0.014432285472409729,-0.02334802261724009,0.6869733471543962,0.7261640305574171,-0.013601222849683245,-0.006082548992993655,-0.787064308631453,0.6166909950803838
0.05,-31.33045824855713,25.485297059286445,134.66643913390723,9.922988181954121,856.9940879345488,139.42207202910043,0.013373006632611257,-0.02206829491722511,0.6865911415724991,0.7265856848075269,-0.01469226485333861,-0.009107262268691458,-0.7978816476747574,0.6025662382105911
0.05,-36.10179550765871,25.57702570528068,134.58798409874106,14.930582449739733,857.3855159153205,139.0612187100171,0.008186949681077945,-0.020544782337837294,0.6851870080922903,0.7280313521512287,-0.00874693572927792,0.003289183599970269,-0.7947971969461487,0.6068031708166485
0.05,-41.31202332749579,25.40716873931972,134.79588371527814,20.26843057124448,857.4619882723924,139.3049105937981,0.013641648766759119,-0.02229252571881391,0.6867853343740277,0.7263902898612808,-0.01000796107105982,0.006673954419255609,-0.7887479383000504,0.614599047245462
0.05,-45.83674852927349,25.407019945164237,134.81192900946263,25.372648700937866,857.4035395033704,139.3030694764294,0.012842323160333163,-0.021676456948346818,0.6865527417302585,0.7266433367014914,-0.008847623419941249,0.002474077141040462,-0.8025568135694513,0.5965049534541756
0.05,-50.027517165044664,25.400703176023544,134.82758709723845,29.42828640638135,857.5300376950652,139.11669111386567,0.012046634717929973,-0.021036342235044428,0.6861614007744774,0.7270453101317343,-0.008606270543057602,0.001819781197728744,-0.7931901997366828,0.6089104429597291
0.05,-53.87041762093301,25.619244573696733,134.6592812711892,33.58231121226555,857.5589702379676,139.00301864977905,0.008032617873633666,-0.021754099966214763,0.6852968197550554,0.7278945699882389,-0.008232264403425017,0.002624638217233004,-0.7933758373346956,0.6086707827968182
0.05,-57.85431854364025,25.62203130710649,134.68570858368022,38.44796270233205,857.5783612807534,139.10992007295738,0.008968216789361693,-0.022681485803662572,0.685441593031399,0.7277190005984008,-0.0076821530974019985,0.0033288801867997655,-0.7922148488395456,0.6101848378635986
